Formation_Set_ID,play,side_of_ball,play_art,description
13,X Slant,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_x-slant.png,
5,Zig Outs,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_zig-outs.png,
2,Midline Triple,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_midline-triple.png,
10,Mtn Smash,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_mtn-smash.png,
7,Pa Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_pa-fb-dive.png,
11,Load Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-y-tight_load-option.png,
14,Midline Triple Opt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_midline-triple-opt.png,
4,Pa Hb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_pa-hb-dive.png,
15,Pa Power O,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/maryland-i_heavy_pa-power-o.png,
14,Pa Te Post,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_pa-te-post.png,
6,Qb Power,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_qb-power.png,
14,Rocket Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_rocket-toss.png,
7,Spacing,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_spacing.png,
11,Mtn Salem,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-y-tight_mtn-salem.png,
4,Pa Counter Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_pa-counter-option.png,
7,Pa Hb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_east_pa-hb-dive.png,
3,Spacing,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_spacing.png,
14,Quick Slants,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_quick-slants.png,
8,Pa Power O,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_pa-power-o.png,
5,Load Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_load-option.png,
14,Midline Qb Iso,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_midline-qb-iso.png,
16,Mtn Rpo Zone,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-y-offset_mtn-rpo-zone.png,
16,Pa Slide,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-y-offset_pa-slide.png,
5,Qb Power,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_qb-power.png,
1,Qb Power,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_qb-power.png,
3,Sprint Out Return,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_sprint-out-return.png,
5,Te Options,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_te-options.png,
2,Wb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_wb-dive.png,
4,X Dig,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_x-dig.png,
3,Inside Cross,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_inside-cross.png,
14,Load Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_load-option.png,
16,Triple Option Rt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-y-offset_triple-option-rt.png,
4,Midline Triple,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_midline-triple.png,
6,Pa Qb Choice,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_pa-qb-choice.png,
4,Qb Counter,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_qb-counter.png,
4,Load Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_load-option.png,
3,Qb Blast,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_qb-blast.png,
2,Qb Cntr Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_qb-cntr-option.png,
11,Quick Slot Out,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-y-tight_quick-slot-out.png,
5,Hook Flats,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_hook-flats.png,
16,Inside Zone Split,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-y-offset_inside-zone-split.png,
4,Midline Read Iso,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_midline-read-iso.png,
6,Midline Read Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_doubles_midline-read-option.png,
11,Mtn Divide,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-y-tight_mtn-divide.png,
10,Mtn Mesh,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_mtn-mesh.png,
9,Mtn Tr Option Rt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_mtn-tr-option-rt.png,
16,Mtn Triple Option Rt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-y-offset_mtn-triple-option-rt.png,
2,Pa Counter Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_pa-counter-option.png,
2,Pa Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_pa-fb-dive.png,
4,Pa Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_pa-fb-dive.png,
2,Pa Hb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_pa-hb-dive.png,
13,Pa Hb Wheel,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_pa-hb-wheel.png,
13,Pa Looch Special,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_pa-looch-special.png,
13,Pa Power O,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_pa-power-o.png,
8,Pa Spot,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_pa-spot.png,
14,Pa Switch,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_pa-switch.png,
5,Pa Wb Wheels,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_pa-wb-wheels.png,
1,Post Curl,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_post-curl.png,
10,Post Sit,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_post-sit.png,
13,Power O,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/power-i_strong_power-o.png,
10,Qb Blast,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_qb-blast.png,
11,Qb Blast,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-y-tight_qb-blast.png,
2,Qb Counter,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_qb-counter.png,
5,Qb Counter,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_qb-counter.png,
2,Rocket Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_rocket-toss.png,
4,Rocket Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_normal_rocket-toss.png,
16,Slants,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-y-offset_slants.png,
1,Smash,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_smash.png,
3,Te Flood,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-trips_te-flood.png,
12,Triple Option Lt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-tight_triple-option-lt.png,
12,Triple Option Rt,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-tight_triple-option-rt.png,
5,Wb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_tight_wb-dive.png,
14,Wr Corners,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_u-off_wr-corners.png,
2,Wr Dig,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_wr-dig.png,
1,Wr Screen,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_wr-screen.png,
9,Y Cross,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_y-cross.png,
9,Zone Speed Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-offset_zone-speed-option.png,
1,Pa Fb Dive,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_trio-right_pa-fb-dive.png,
2,Slant Out Trails,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_slant-out-trails.png,
2,Inside Veer Triple Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/flexbone_close_inside-veer-triple-option.png,
10,Load Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/pistol_empty-tight-stack_load-option.png,
8,Strong Toss,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/goal-line-offense_normal_strong-toss.png,
16,Verticals,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_split-y-offset_verticals.png,
17,Inside Zone,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_ace_inside-zone.png,
17,Hb Draw,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_ace_hb-draw.png,
18,Qb Draw,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_empty-base_qb-draw.png,
19,Hb Slip Screen,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_y-off-trips-wk_hb-slip-screen.png,
20,Inside Zone,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_normal-y-off-wk_inside-zone.png,
21,Inside Zone,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_u-off-trips_inside-zone.png,
22,Read Option,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_u-off-trips-wk_read-option.png,
22,Dagger Sit,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_u-off-trips-wk_dagger-sit.png,
19,Mtn Hb Swing,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_y-off-trips-wk_mtn-hb-swing.png,
23,Pa Counter Go,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_trips-te_pa-counter-go.png,
24,Pa Cross Sit,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_trio-hb-wk_pa-cross-sit.png,
25,Pa Jet Sweep,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_normal-y-off-close_pa-jet-sweep.png,
26,Rpo Alert Bubble,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_wing-slot-wk_rpo-alert-bubble.png,
27,Rpo Alert Out,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_tight-y-off_rpo-alert-out.png,
19,Rpo Alert Shock,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_y-off-trips-wk_rpo-alert-shock.png,
26,Rpo Read Bubble,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_wing-slot-wk_rpo-read-bubble.png,
28,Rpo Read Y Flat,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_y-off-trips_rpo-read-y-flat.png,
22,Smash,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_u-off-trips-wk_smash.png,
29,X Follow,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-flex_x-follow.png,
30,Hb Mid Draw,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_trips-x-nasty_hb-mid-draw.png,
19,Inside Zone,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_y-off-trips-wk_inside-zone.png,
29,Smash Corners,Offense,https://collegefootball.gg/wp-content/plugins/playbook/playbook_images_ncaa-25/shotgun_spread-flex_smash-corners.png,
